Year,Geography,Total households,Two parent families,Couples without children,One parent families,Other families,Lone person household,Group household,Average Household Size
2016,City of Melbourne,67210,6245,17284,2693,2544,24577,13868,2.004
2017,City of Melbourne,73644,6788,19048,2890,2810,26920,15187,2.008
2018,City of Melbourne,78668,7272,20526,3079,3000,28746,16044,2.011
2019,City of Melbourne,82488,7684,21557,3243,3125,30279,16599,2.009
2020,City of Melbourne,86876,8144,22853,3412,3253,31983,17231,2.008
2021,City of Melbourne,91793,8627,24279,3589,3412,33850,18036,2.006
2022,City of Melbourne,95493,9077,25436,3765,3479,35359,18377,2.003
2023,City of Melbourne,99626,9582,26713,3970,3567,36998,18796,2.003
2024,City of Melbourne,103997,10118,28046,4183,3663,38729,19258,2.002
2025,City of Melbourne,108406,10687,29436,4414,3745,40476,19647,2.001
2026,City of Melbourne,112692,11250,30749,4646,3822,42219,20007,2
2027,City of Melbourne,116981,11825,32030,4911,3893,43978,20345,2
2028,City of Melbourne,121302,12414,33326,5189,3961,45771,20641,1.999
2029,City of Melbourne,125592,13015,34601,5478,4025,47544,20930,1.999
2030,City of Melbourne,129864,13641,35887,5780,4077,49309,21171,2
2031,City of Melbourne,133991,14212,37090,6071,4140,51038,21439,2
2032,City of Melbourne,138271,14789,38344,6374,4212,52781,21770,2
2033,City of Melbourne,142522,15343,39563,6672,4292,54505,22147,1.999
2034,City of Melbourne,146803,15882,40792,6963,4379,56240,22547,1.999
2035,City of Melbourne,151077,16409,42012,7251,4469,57965,22970,1.998
2036,City of Melbourne,155366,16916,43231,7528,4564,59706,23422,1.997
2037,City of Melbourne,159646,17414,44453,7799,4660,61433,23886,1.995
2038,City of Melbourne,164032,17908,45720,8071,4762,63203,24368,1.994
2039,City of Melbourne,168404,18389,46975,8336,4866,64981,24857,1.992
2040,City of Melbourne,172759,18859,48228,8595,4971,66752,25354,1.991
2041,City of Melbourne,177036,19317,49460,8846,5073,68498,25841,1.989
2016,Carlton,9578,564,1563,459,364,4235,2393,1.886
2017,Carlton,10214,608,1703,486,385,4496,2537,1.896
2018,Carlton,10393,642,1792,505,382,4540,2532,1.902
2019,Carlton,11084,694,1944,535,403,4855,2653,1.9
2020,Carlton,11252,729,2022,548,401,4924,2629,1.9
2021,Carlton,11288,755,2067,561,391,4947,2567,1.901
2022,Carlton,11518,790,2133,580,392,5060,2563,1.903
2023,Carlton,11744,829,2194,605,391,5165,2559,1.904
2024,Carlton,11866,862,2238,624,387,5228,2526,1.904
2025,Carlton,11927,891,2270,645,379,5263,2479,1.904
2026,Carlton,12052,922,2308,667,375,5332,2448,1.903
2027,Carlton,12188,954,2345,692,371,5407,2420,1.903
2028,Carlton,12353,987,2386,718,368,5496,2399,1.902
2029,Carlton,12532,1021,2428,744,365,5591,2383,1.902
2030,Carlton,12700,1055,2469,771,362,5680,2363,1.901
2031,Carlton,12852,1083,2507,794,360,5764,2344,1.899
2032,Carlton,13084,1113,2555,819,362,5884,2351,1.897
2033,Carlton,13316,1142,2602,843,364,6004,2362,1.895
2034,Carlton,13544,1168,2649,865,367,6120,2375,1.892
2035,Carlton,13769,1192,2696,887,370,6234,2390,1.889
2036,Carlton,14001,1214,2743,907,374,6354,2408,1.886
2037,Carlton,14235,1236,2792,926,378,6473,2429,1.882
2038,Carlton,14479,1256,2844,944,383,6598,2454,1.879
2039,Carlton,14722,1276,2896,961,388,6722,2479,1.876
2040,Carlton,14966,1295,2948,977,393,6846,2506,1.872
2041,Carlton,15209,1313,3002,993,399,6969,2534,1.869
2016,Docklands,5715,755,1913,242,173,1781,851,2.036
2017,Docklands,7150,921,2360,291,229,2225,1124,2.053
2018,Docklands,8000,1038,2636,323,254,2503,1246,2.055
2019,Docklands,8415,1114,2777,346,258,2653,1267,2.053
2020,Docklands,8915,1193,2942,372,268,2830,1311,2.051
2021,Docklands,9516,1283,3141,400,281,3038,1373,2.051
2022,Docklands,10302,1393,3395,435,301,3306,1471,2.051
2023,Docklands,10964,1494,3616,469,314,3537,1534,2.051
2024,Docklands,11937,1630,3934,513,339,3868,1653,2.052
2025,Docklands,12873,1768,4244,559,360,4188,1754,2.053
2026,Docklands,13679,1894,4516,603,375,4472,1819,2.052
2027,Docklands,14344,2006,4746,644,383,4712,1853,2.051
2028,Docklands,15116,2129,5007,690,394,4991,1905,2.05
2029,Docklands,15778,2240,5233,732,401,5239,1932,2.049
2030,Docklands,16478,2355,5471,777,410,5501,1965,2.047
2031,Docklands,17038,2448,5663,817,414,5720,1976,2.044
2032,Docklands,17554,2531,5840,854,418,5925,1987,2.041
2033,Docklands,18112,2613,6030,889,425,6143,2013,2.038
2034,Docklands,18712,2696,6233,926,434,6373,2051,2.036
2035,Docklands,19204,2764,6403,957,440,6568,2073,2.032
2036,Docklands,19672,2826,6566,985,446,6755,2094,2.029
2037,Docklands,20097,2881,6715,1011,451,6928,2112,2.025
2038,Docklands,20406,2920,6828,1032,452,7064,2111,2.021
2039,Docklands,20716,2956,6941,1050,455,7198,2116,2.017
2040,Docklands,20985,2985,7041,1066,456,7318,2118,2.012
2041,Docklands,21211,3007,7127,1080,457,7424,2116,2.008
2016,East Melbourne,2612,287,924,68,42,1044,248,1.904
2017,East Melbourne,2665,291,936,79,43,1063,252,1.906
2018,East Melbourne,2715,296,950,84,46,1083,256,1.912
2019,East Melbourne,2770,302,971,82,48,1106,261,1.916
2020,East Melbourne,2935,317,1027,82,53,1170,285,1.927
2021,East Melbourne,2941,320,1030,82,51,1178,280,1.921
2022,East Melbourne,2948,321,1032,83,51,1184,277,1.915
2023,East Melbourne,2982,326,1043,85,50,1200,279,1.914
2024,East Melbourne,3005,328,1052,86,50,1212,277,1.911
2025,East Melbourne,3051,333,1069,88,50,1232,279,1.912
2026,East Melbourne,3064,337,1074,89,49,1239,276,1.91
2027,East Melbourne,3082,340,1080,90,48,1250,274,1.907
2028,East Melbourne,3118,345,1091,92,48,1269,274,1.906
2029,East Melbourne,3136,348,1095,93,47,1282,271,1.903
2030,East Melbourne,3160,353,1100,95,47,1296,269,1.901
2031,East Melbourne,3189,357,1108,97,47,1313,268,1.899
2032,East Melbourne,3212,362,1114,98,47,1324,267,1.898
2033,East Melbourne,3234,366,1121,100,46,1334,266,1.897
2034,East Melbourne,3256,370,1128,101,46,1344,266,1.896
2035,East Melbourne,3278,373,1135,102,47,1356,266,1.895
2036,East Melbourne,3300,376,1142,104,47,1366,266,1.894
2037,East Melbourne,3320,379,1148,105,47,1375,266,1.893
2038,East Melbourne,3339,382,1154,106,47,1386,265,1.891
2039,East Melbourne,3359,385,1160,107,47,1395,266,1.89
2040,East Melbourne,3378,387,1167,108,47,1403,267,1.889
2041,East Melbourne,3398,390,1174,108,47,1411,268,1.888
2016,Kensington,5173,1067,1393,321,139,1611,643,2.228
2017,Kensington,5224,1083,1396,328,139,1644,633,2.225
2018,Kensington,5268,1089,1401,340,139,1673,627,2.225
2019,Kensington,5332,1101,1410,352,140,1705,624,2.223
2020,Kensington,5342,1104,1405,359,138,1727,609,2.216
2021,Kensington,5352,1109,1397,366,138,1749,594,2.209
2022,Kensington,5402,1116,1403,374,139,1779,592,2.204
2023,Kensington,5477,1128,1417,382,142,1814,594,2.201
2024,Kensington,5544,1141,1429,390,143,1848,593,2.197
2025,Kensington,5658,1161,1454,399,146,1895,603,2.194
2026,Kensington,5790,1183,1487,411,150,1945,616,2.191
2027,Kensington,5980,1215,1534,425,155,2012,639,2.19
2028,Kensington,6169,1249,1582,439,160,2080,659,2.187
2029,Kensington,6398,1291,1642,456,165,2157,686,2.187
2030,Kensington,6640,1337,1704,474,171,2240,713,2.186
2031,Kensington,6892,1384,1770,493,177,2326,741,2.185
2032,Kensington,7227,1443,1861,516,186,2434,787,2.185
2033,Kensington,7564,1502,1952,539,194,2544,832,2.185
2034,Kensington,7897,1561,2043,563,203,2654,874,2.183
2035,Kensington,8228,1619,2132,587,210,2765,914,2.181
2036,Kensington,8502,1667,2205,608,216,2862,944,2.178
